,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
0,0.489,0.444,5,-13.903,0,0.0498,0.233,0.00126,0.123,0.658,142.752,383560,4,1
1,0.522,0.631,9,-8.192,1,0.0355,0.0693,0.211,0.1,0.314,163.484,464143,4,0
2,0.434,0.663,3,-8.992,1,0.048,0.416,0.00645,0.0921,0.636,86.924,344293,4,1
3,0.341,0.404,1,-11.24,1,0.0347,0.888,0.861,0.111,0.272,86.565,550333,3,0
4,0.475,0.689,9,-9.351,0,0.054,0.532,0.00427,0.969,0.823,117.407,282200,4,1
5,0.526,0.432,9,-16.928,0,0.0442,0.367,0.937,0.183,0.8,138.44,217119,4,0
6,0.406,0.611,6,-10.415,0,0.0323,0.31,0.419,0.176,0.541,108.442,442467,4,1
7,0.578,0.304,9,-20.505,0,0.035,0.791,0.000126,0.102,0.726,139.786,108000,4,0
8,0.446,0.541,6,-10.032,1,0.0682,0.395,0.656,0.0835,0.696,170.955,348973,3,1
9,0.463,0.378,7,-9.304,0,0.0312,0.888,0.135,0.36,0.323,116.509,361093,4,0
10,0.502,0.312,1,-12.822,1,0.122,0.724,0.00453,0.0839,0.544,169.891,307627,4,1
11,0.396,0.513,9,-9.739,0,0.0405,0.0731,0.822,0.125,0.376,136.802,485307,3,0
12,0.43,0.689,2,-9.97,0,0.0389,0.538,0.0221,0.0693,0.643,139.301,255533,4,1
13,0.668,0.0829,10,-16.429,0,0.0392,0.965,0.101,0.106,0.585,96.553,212693,4,0
14,0.62,0.744,4,-12.794,0,0.0403,0.0232,0.885,0.0697,0.768,124.101,290533,4,1
15,0.498,0.0602,9,-24.901,0,0.0479,0.946,0.751,0.0849,0.189,117.759,346667,5,0
16,0.781,0.393,10,-12.197,0,0.149,0.364,8.44e-06,0.107,0.733,101.07,143280,4,1
17,0.557,0.597,0,-7.219,0,0.0376,0.0999,6.75e-06,0.0912,0.242,145.048,387067,4,0
18,0.717,0.564,10,-10.138,0,0.0392,0.00376,0.000993,0.0453,0.948,99.048,272773,4,1
19,0.435,0.616,7,-10.573,0,0.122,0.783,0.0196,0.733,0.211,133.956,383973,4,0
20,0.623,0.885,7,-5.606,1,0.255,0.208,0.00365,0.742,0.298,143.677,248855,4,1
21,0.596,0.789,8,-4.535,1,0.0279,0.0377,4.46e-06,0.0997,0.492,95.969,248307,4,0
22,0.371,0.685,8,-4.219,1,0.144,0.497,7.21e-05,0.0537,0.693,189.057,309720,3,1
23,0.802,0.803,0,-6.183,1,0.139,0.183,0.0,0.0928,0.806,124.273,240893,4,0
24,0.771,0.703,8,-6.299,0,0.0423,0.0628,0.0,0.0847,0.954,110.001,236013,4,1
25,0.351,0.00593,4,-36.521,0,0.0393,0.991,0.941,0.0499,0.125,64.894,192400,3,0
26,0.44,0.286,5,-20.509,0,0.0341,0.849,0.902,0.104,0.45,110.372,506800,3,1
27,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,4,0
28,0.196,0.0899,4,-15.741,1,0.0396,0.983,0.928,0.102,0.0373,80.016,267413,4,1
29,0.322,0.495,0,-10.192,1,0.0317,0.906,0.923,0.124,0.376,97.216,255400,3,0
